Titles,math.AG,math.NT
"Algebraic approximations to linear combinations of powers: an extension
  of results by Mahler and Corvaja-Zannier",0.0,1.0
Elliptic Curves with abelian division fields,1.0,1.0
"Equivariant motivic integration on formal schemes and the motivic zeta
  function",1.0,0.0
Explicit homotopy limits of dg-categories and twisted complexes,1.0,0.0
"$\mu$-constant monodromy groups and Torelli results for marked
  singularities, for the unimodal and some bimodal singularities",1.0,0.0
Calabi-Yau threefolds of type K (II): Mirror symmetry,1.0,0.0
On the number of distinct prime factors of a sum of super-powers,0.0,1.0
The Miyaoka-Yau inequality and uniformisation of canonical models,1.0,0.0
A Generalization of the Schur-Siegel-Smyth Trace Problem,0.0,1.0
\L ojasiewicz exponents and Farey sequences,1.0,0.0
On the uniqueness of generic representations in an $L$-packet,0.0,1.0
Topological simplicity of the Cremona groups,1.0,0.0
Factoring polynomials of the form $f(x^n)\in \mathbb{F}_q[x]$,0.0,1.0
On the exponents of free and nearly free projective plane curves,1.0,0.0
"The topology of compact Lie group actions through the lens of finite
  models",1.0,0.0
"Algebraic Cycles, Fundamental Group of a Punctured Curve, and
  Applications in Arithmetic",1.0,1.0
On $L$-functions of quadratic $\mathbb{Q}$-curves,0.0,1.0
"Rational differential forms on line and singular vectors in Verma
  modules over $\widehat {sl}_2$",1.0,0.0
Shimura Lifts of Weakly Holomorphic Modular Forms,0.0,1.0
On the uniform Rasmussen-Tamagawa conjecture in the CM case,1.0,1.0
On the invariant factors of class groups in towers of number fields,0.0,1.0
A remark on virtual pushforward properties in Gromov-Witten theory,1.0,0.0
A geometrical approach to measure irrationality,0.0,1.0
Divisor Divisibility Sequences on Tori,0.0,1.0
Stein Domains in Banach Algebraic Geometry,1.0,1.0
On automorphism groups of affine surfaces,1.0,0.0
"A bound on the second Betti number of hyperk\""ahler manifolds of complex
  dimension six",1.0,0.0
On the functional equations for polylogarithms in one variable,1.0,0.0
Linear independence measure of logarithms over affine groups,0.0,1.0
An inverse theorem in $\mathbb{F}_p$ and rainbow free colorings,0.0,1.0
"Highest weights for truncated shifted Yangians and product monomial
  crystals",1.0,0.0
Hypertoric varieties and zonotopal tilings,1.0,0.0
Consecutive Integers and the Collatz Conjecture,0.0,1.0
On the multiplicity estimates,1.0,0.0
On Fujita's freeness conjecture in dimension 5,1.0,0.0
A Correlator Formula for Quantum Sheaf Cohomology,1.0,0.0
Counting Points on Dwork Hypersurfaces and $p$-adic Gamma Function,0.0,1.0
On Problems about a generalization of the Brauer group,0.0,1.0
On some conjectures about free and nearly free divisors,1.0,0.0
Height zeta functions of projective bundles,0.0,1.0
Linear nested Artin approximation theorem for algebraic power series,1.0,0.0
The moduli of smooth hypersurfaces with level structure,1.0,1.0
On the average distribution of divisors of friable numbers,0.0,1.0
"Elimination of quotients in various localisations of premodels into
  models",1.0,0.0
Diameter of Ramanujan Graphs and Random Cayley Graphs,0.0,1.0
Convoluted Fourier Coefficients of GL(n)-Automorphic Functions. Part 1,0.0,1.0
Homological projective duality for linear systems with base locus,1.0,0.0
Continuous Distribution Arising From the Three Gaps Theorem,0.0,1.0
"Sigma-function solution to the general Somos-6 recurrence via
  hyperelliptic Prym varieties",0.0,1.0
Basic finite \'etale equivalence relations,1.0,0.0
Pretzel Knots and q-Series,0.0,1.0
The Lusternik-Schnirelmann category for a differentiable stack,1.0,0.0
The extremal Secant Conjecture for curves of arbitrary gonality,1.0,0.0
Automorphisms of generalised Kummer fourfolds,1.0,0.0
"Real zeros of Hurwitz-Lerch zeta functions in the interval $(-1,0)$",0.0,1.0
Homological dimension of simple pro-p-Iwahori--Hecke modules,0.0,1.0
Triangulated categories of relative 1-motives,1.0,0.0
Higher Chern classes in Iwasawa theory,0.0,1.0
"The dual complex of $\bar{M}_{0,n}$ via phylogenetics",1.0,0.0
"Absolutely abnormal, continued fraction normal numbers",0.0,1.0
"On the Grothendieck--Serre conjecture concerning principal G-bundles
  over semi-local Dedekind domains",1.0,0.0
Potential log canonical centers,1.0,0.0
\'Etale homological stability and arithmetic statistics,1.0,1.0
Motivic local density,1.0,0.0
"Infinitely Many Carmichael Numbers for a Modified Miller-Rabin Prime
  Test",0.0,1.0
Inductive structure of Shalika germs and affine Springer fibers,1.0,0.0
Strongly \'etale difference algebras and Babbitt's decomposition,1.0,0.0
Donaldson-Thomas invariants of Calabi-Yau orbifolds under flops,1.0,0.0
Mixing and cut-off in cycle walks,0.0,1.0
"The rational torsion subgroups of Drinfeld modular Jacobians and
  Eisenstein pseudo-harmonic cochains",0.0,1.0
Examples of $k$-regular maps and interpolation spaces,1.0,0.0
"Algebraic invariants of projective monomial curves associated to
  generalized arithmetic sequences",1.0,0.0
An introduction to higher energies and sumsets,0.0,1.0
"Minimal genus of a multiple and Frobenius number of a quotient of a
  numerical semigroup",0.0,1.0
"On Kronecker's density theorem, primitive points and orbits of matrices",0.0,1.0
Supercongruences involving dual sequences,0.0,1.0
Duality and (q-)multiple zeta values,0.0,1.0
Geometric Aspects of Iterated Matrix Multiplication,1.0,0.0
On the arithmetic of abelian varieties,1.0,1.0
On uniform approximation to real numbers,0.0,1.0
"Hodge Theory and Deformations of Affine Cones of Subcanonical Projective
  Varieties",1.0,0.0
Testing R-parity with Geometry,1.0,0.0
Unramified Brauer group and its applications,1.0,1.0
Sums of Quadratic residues and nonresidues,0.0,1.0
Shifted moments of L functions and moments of theta functions,0.0,1.0
"Vertical Distribution Relations For Special Cycles on Unitary Shimura
  Varieties",0.0,1.0
"The $\mathcal{L}$-invariant, the dual $\mathcal{L}$-invariant, and
  families",0.0,1.0
Ulrich bundles on abelian surfaces,1.0,0.0
Transcendental Hodge algebra,1.0,1.0
A note on the exponential sums of the localized divisor functions,0.0,1.0
Integral models of Shimura varieties with parahoric level structure,1.0,1.0
"Global decomposition of GL(3) Kloosterman sums and the spectral large
  sieve",0.0,1.0
"Frobenius type and CV-structures for Donaldson-Thomas theory and a
  convergence property",1.0,0.0
A Parabolic Cylinder Function in the Riemann-Siegel Integral Formula,0.0,1.0
A note on the Borwein conjecture,0.0,1.0
"A refined version of Grothendieck's birational anabelian conjecture for
  curves over finite fields",1.0,1.0
Algebraic K-theory with coefficients of cyclic quotient singularities,1.0,0.0
"On the section conjecture over function fields and finitely generated
  fields",1.0,1.0
Zeroes of polynomials with prime inputs and Schmidt's $h$-invariant,0.0,1.0
More on the Nonexistence of Odd Perfect Numbers of a Certain Form,0.0,1.0
The Second Moment of Sums of Coefficients of Cusp Forms,0.0,1.0
At most 64 lines on smooth quartic surfaces (characteristic 2),1.0,1.0
Independence of $\ell$ for the supports in the Decomposition Theorem,1.0,0.0
"Trigonometric representations of generalized Dedekind and Hardy sums via
  the discrete Fourier transform",0.0,1.0
General divisor functions in arithmetic progressions to large moduli,0.0,1.0
Multiplicative functions preserving the sum-of-three-squares operation,0.0,1.0
On the ramification of \'etale cohomology groups,1.0,1.0
"Proof of the main conjecture in Vinogradov's mean value theorem for
  degrees higher than three",0.0,1.0
Patterns in Calabi-Yau Distributions,1.0,0.0
Pruned double Hurwitz numbers,1.0,0.0
Multiplex congruence network of natural numbers,0.0,1.0
Cyclic division algebras and maximal tori,0.0,1.0
Restricted Product Sets under Unique Representability,0.0,1.0
Sets of Completely Decomposed Primes in Extensions of Number Fields,0.0,1.0
On Bohr sets of integer valued traceless matrices,0.0,1.0
Cutkosky Rules and Outer Space,1.0,0.0
Twisted patterns in large subsets of $\mathbb{Z}^N$,0.0,1.0
2-Cycles on Higher Fano Hypersurfaces,1.0,0.0
"Computing the Chern-Schwartz-MacPherson Class of Complete Simplical
  Toric Varieties",1.0,0.0
"Jordan groups, conic bundles and abelian varieties",1.0,0.0
On real typical ranks,1.0,0.0
Subsets of $\mathbb{F}_q[x]$ free of 3-term geometric progressions,0.0,1.0
Families of \mathbb{A}^1-contractible affine threefolds,1.0,0.0
"On Euler characteristics of Selmer groups for abelian varieties over
  global function fields",0.0,1.0
Spherical Spaces,1.0,0.0
"The realization of the degree zero part of the motivic polylogarithm on
  abelian schemes in Deligne-Beilinson cohomology",1.0,0.0
"On the $\bar{\mathbb F}_l$-cohomology of a simple unitary Shimura
  variety",0.0,1.0
Higher rank BN-thory for curves of genus 5,1.0,0.0
"A higher dimensional generalization of Lichtenbaum duality in terms of
  the Albanese map",1.0,1.0
Fourier-Mukai Transforms and Stability Conditions on Abelian Varieties,1.0,0.0
Complex ball quotients from manifolds of $K3^{[n]}$-type,1.0,0.0
"Some remarks on moduli spaces of lattice polarized holomorphic
  symplectic manifolds",1.0,0.0
"Soficity, short cycles and the Higman group",0.0,1.0
On a complex-symplectic mirror pair,1.0,0.0
Closest integer polynomial multiple recurrence along shifted primes,0.0,1.0
Algebraic part of motivic cohomology with compact supports,1.0,0.0
A Hermite-Minkowski type theorem of varieties over finite fields,0.0,1.0
Toric ideals of simple surface singularities,1.0,0.0
"Equations defining recursive extensions as set theoretic complete
  intersections",1.0,0.0
The boundary of the orbit of the 3 by 3 determinant polynomial,1.0,0.0
Logarithmic good reduction of abelian varieties,1.0,1.0
Adjoint groups over ${\mathbb Q}_p (X)$ and R-equivalence - revisited,0.0,1.0
"Holomorphic field realization of SH$^c$ and quantum geometry of quiver
  gauge theories",1.0,0.0
"Curvature on the integers, I",0.0,1.0
"Curvature on the integers, II",0.0,1.0
"2-adic integral canonical models and the Tate conjecture in
  characteristic 2",1.0,1.0
The modular group and words in its two generators,0.0,1.0
Similarity detection of rational space curves,1.0,0.0
"The nef cone of the moduli space of sheaves and strong Bogomolov
  inequalities",1.0,0.0
Shtukas and the Taylor expansion of $L$-functions,1.0,1.0
Surprising symmetries in distribution of prime polynomials,0.0,1.0
Motifs in Derived Algebraic Geometry,1.0,0.0
"Algebraic connections vs. Algebraic $\mathcal D$-modules: regularity
  conditions",1.0,0.0
Lipschitz-Killing curvatures and polar images,1.0,0.0
On decompositions of quadrinomials and related Diophantine equations,0.0,1.0
Milnor Fibre Homology via Deformation,1.0,0.0
On a Conjecture of Schmidt for the Parametric Geometry of Numbers,0.0,1.0
Lie algebras of differential operators: Extensions,1.0,0.0
On a Fair Copy of Riemann's 1859 Publication Created by Alfred Clebsch,0.0,1.0
"A Constructive Finite Field Method for Scattering Points on the Surface
  of $d$-Dimensional Spheres",0.0,1.0
"Constructing quotients of algebraic varieties by linear algebraic group
  actions",1.0,0.0
Conductors in $p$-adic families,0.0,1.0
Variation of Weyl modules in $p$-adic families,0.0,1.0
"Geometry-of-numbers methods over global fields I: Prehomogeneous vector
  spaces",0.0,1.0
The independence number of a subset of an abelian group,0.0,1.0
"Open problems about sumsets in finite abelian groups: minimum sizes and
  critical numbers",0.0,1.0
"Comments on Y. O. Hamidoune's Paper ""Adding Distinct Congruence Classes""",0.0,1.0
Monodromy of the Casimir connection of a symmetrisable Kac-Moody algebra,1.0,0.0
"Bielliptic ball quotient compactifications and lattices in PU(2, 1) with
  finitely generated commutator subgroup",1.0,0.0
"Powers in orbits of rational functions: cases of an arithmetic dynamical
  Mordell-Lang conjecture",0.0,1.0
Moduli spaces of stable pairs,1.0,0.0
"Every finite subset of an abelian group is an asymptotic approximate
  group",0.0,1.0
Measure Theoretic Aspects of Oscillations of Error Terms,0.0,1.0
"On the cohomology of regular surfaces isogenous to a product of curves
  with $\chi(\mathcal{O}_S)=2$",1.0,0.0
Polynomial sequences on quadratic curves,0.0,1.0
Complex $\text{G}_2$ and Associative Grassmannian,1.0,0.0
Vinogradov's three primes theorem with almost twin primes,0.0,1.0
Formal orbifolds and orbifold bundles in positive characteristic,1.0,1.0
On The Class Of $2D$ $q$-Appell Polynomials,0.0,1.0
"The Cubic Case of Vinogradov's Mean Value Theorem --- A Simplified
  Approach to Wooley's ""Efficient Congruencing""",0.0,1.0
On triple correlations of divisor functions,0.0,1.0
"Universal cohomological expressions for singularities in families of
  genus 0 stable maps",1.0,0.0
"Steinitz classes and partial genera of unimodular lattices over
  imaginary-quadratic fields",0.0,1.0
"Donaldson-Thomas invariants vs. intersection cohomology for categories
  of homological dimension one",1.0,0.0
"Iwasawa theory and $F$-analytic Lubin-Tate $(\varphi,\Gamma)$-modules",0.0,1.0
Topology of Exceptional Orbit Hypersurfaces of Prehomogeneous Spaces,1.0,0.0
"The $p$-adic monodromy group of abelian varieties over global function
  fields of characteristic $p$",0.0,1.0
"Deforming nonnormal isolated surface singularities and constructing
  3-folds with $\mathbb{P}^1$ as exceptional set",1.0,0.0
"On two conjectures concerning squarefree numbers in arithmetic
  progressions",0.0,1.0
Iwasawa theory for the symmetric square of a modular form,0.0,1.0
Finite and symmetrized colored multiple zeta values,0.0,1.0
"The Laplacian of The Integral Of The Logarithmic Derivative of the
  Riemann-Siegel-Hardy Z-function",0.0,1.0
"Semi-Stable Chow-Hall Algebras of Quivers and Quantized Donaldson-Thomas
  Invariants",1.0,0.0
G\'al-type GCD sums beyond the critical line,0.0,1.0
"Quantum j-invariant in positive characteristic I: Definition and
  Convergence",0.0,1.0
Acyclic complexes and 1-affineness,1.0,0.0
"Period relations for automorphic forms on unitary groups and critical
  values of $L$-functions",0.0,1.0
Rank reduction of conformal blocks,1.0,0.0
"A remark on the decomposition theorem for direct images of canonical
  sheaves tensorized with semipositive vector bundles",1.0,0.0
Heron Quadrilaterals via elliptic curves,0.0,1.0
Slope inequality for families of curves over surfaces,1.0,0.0
"Large gaps between consecutive prime numbers containing perfect $k$-th
  powers of prime numbers",0.0,1.0
"A geometric invariant of $6$-dimensional subspaces of $4\times 4$
  matrices",1.0,0.0
Universal Mixed Elliptic Motives,1.0,0.0
Nonvanishing of Dirichlet L-functions,0.0,1.0
"Stability of measures on K\""ahler manifolds",1.0,0.0
Quadratic approximation in $\mathbb{F}_q ((T^{-1}))$,0.0,1.0
Intersection cohomology of moduli spaces of vector bundles over curves,1.0,0.0
$\Omega$-results for the hyperbolic lattice point problem,0.0,1.0
An ergodic value distribution of certain meromorphic functions,0.0,1.0
"Towards characterization of all $3\times3$ extremal quasiconvex
  quadratic forms",1.0,0.0
"On the Cohen-Macaulayness of tangent cones of monomial curves in
  $\mathbb{A}^{4}(K)$",1.0,0.0
Two applications of the spectrum of numbers,0.0,1.0
"Non-compact Newton boundary and Whitney equisingularity for non-isolated
  singularities",1.0,0.0
Point-like limit of the hyperelliptic Zhang-Kawazumi invariant,1.0,0.0
Mixed Hodge modules and mixed twistor modules,1.0,0.0
Tensor decomposition and homotopy continuation,1.0,0.0
Relative Hilbert co-efficients,1.0,0.0
Cohomological characterizations of the complex projective space,1.0,0.0
Criteria for regularity of Mahler power series and Becker's conjecture,0.0,1.0
A `relative' local Langlands correspondence,0.0,1.0
A Note on Normalizations of Orbit Closures,1.0,0.0
Castelnuovo-Mumford regularity and Ratliff-Rush closure,1.0,0.0
Quarto-quartic birational maps of $\mathbb{P}_3(\mathbb{C})$,1.0,0.0
"A Moduli Space for Rational Homotopy Types with the Same Homotopy Lie
  Algebra",1.0,0.0
The algebraic functional equation of Riemann's theta function,1.0,1.0
"On a relation between certain $q$-hypergeometric series and Maass
  waveforms",0.0,1.0
The parity theorem for multiple polylogarithms,0.0,1.0
"Free factorization algebras and homology of configuration spaces in
  algebraic geometry",1.0,0.0
Equivariant A-infinity algebras for nonorientable Lagrangians,1.0,0.0
Holonomic alchemy and series for $1/\pi$,0.0,1.0
"Multiplicativity of Perverse Filtration for Hilbert Schemes of Fibered
  Surfaces",1.0,0.0
Smooth projective horospherical varieties with nef tangent bundles,1.0,0.0
Norms of indecomposable integers in real quadratic fields,0.0,1.0
"$K$-theory and logarithmic Hodge-Witt sheaves of formal schemes in
  characteristic $p$",1.0,0.0
Visible lattice points in random walks,0.0,1.0
On the variance of the error term in the hyperbolic circle problem,0.0,1.0
"AR-Components of domestic finite group schemes: McKay-Quivers and
  Ramification",1.0,0.0
Algebraic Geometry Over Hyperrings,1.0,0.0
Zero cycles with modulus and zero cycles on singular varieties,1.0,0.0
Feynman Amplitudes and Limits of Heights,1.0,0.0
Romanov's Theorem in Number Fields,0.0,1.0
On the Cohen-Macaulay property for quadratic tangent cones,1.0,0.0
"Bornes sur le nombre de points rationnels des courbes - en quete
  d'uniformite",0.0,1.0
Landau-Ginzburg Orbifolds and Symmetries of K3 CFTs,1.0,0.0
Polynomials Meeting Ax's Bound,0.0,1.0
Rational points on log Fano threefolds over a finite field,1.0,1.0
The number of atoms in an atomic domain,0.0,1.0
"Generalized Heegner cycles at Eisenstein primes and the Katz $p$-adic
  $L$-function",0.0,1.0
"A note on lattice points in certain finite type domains in
  $\mathbb{R}^d$",0.0,1.0
Representation of units in cyclotomic function fields,0.0,1.0
Holonomic Systems for Period Mappings,1.0,0.0
$G_2$-orbifolds from K3 surfaces with ADE-singularities,1.0,0.0
"A positive proportion of cubic curves over Q admit linear determinantal
  representations",1.0,1.0
On Generalized Multi Poly-Euler and Multi Poly-Bernoulli Polynomials,0.0,1.0
The dualizing complex of $F$-injective and Du Bois singularities,1.0,0.0
"BPS/CFT correspondence: non-perturbative Dyson-Schwinger equations and
  qq-characters",1.0,0.0
Some elements of a possible demonstration of the Collatz conjecture,0.0,1.0
"Frobenius Manifolds, Spectral Curves, and Integrable Hierarchies",1.0,0.0
Short-Interval Averages of Sums of Fourier Coefficients of Cusp Forms,0.0,1.0
"Computation of Hurwitz spaces and new explicit polynomials for almost
  simple Galois groups",0.0,1.0
"Explicit estimates for polynomial systems defining irreducible smooth
  complete intersections",1.0,1.0
Congruences on the Number of Restricted $m$-ary Partitions,0.0,1.0
"Birational geometry of algebraic varieties, fibred into Fano double
  spaces",1.0,0.0
"Counting positive intersection points of a trinomial and a
  $\mathbf{T}$-nomial curves via Groethendieck's dessin d'enfant",1.0,0.0
Single-valued multiple zeta values in genus 1 superstring amplitudes,0.0,1.0
On one type of compactification of positive integers,0.0,1.0
"Groups actions, and D equivalences of categories of coherent sheaves of
  symplectic resolutions",1.0,0.0
On a certain additive divisor problem,0.0,1.0
The Topology of Equivariant Hilbert Schemes,1.0,0.0
Shrinking Targets for Semisimple Groups,0.0,1.0
Dirichlet's Theorem in function fields,0.0,1.0
"A non-uniform distribution property of most orbits, in case the $3x+1$
  conjecture is true",0.0,1.0
Motivic and derived motivic Hirzebruch classes,1.0,0.0
"Local Shtukas, Hodge-Pink Structures and Galois Representations",0.0,1.0
On twisted $A$-harmonic sums and Carlitz finite zeta values,0.0,1.0
Some conjectures on continuous rational maps into spheres,1.0,0.0
Quadratic forms and systems of forms in many variables,0.0,1.0
"On the mean square of the remainder for the Euclidean lattice point
  counting problem",0.0,1.0
On the local negativity of Enriques and K3 surfaces,1.0,0.0
Dimensional homotopy t-structure in motivic homotopy theory,1.0,0.0
"Analytic properties of generalized Mordell-Tornheim type of multiple
  zeta-functions and L-functions",0.0,1.0
On multi-pointed non-commutative deformations and Calabi-Yau threefolds,1.0,0.0
"On relative rational chain connectedness of threefolds with anti-big
  canonical divisors in positive characteristics",1.0,0.0
Ulrich Schur bundles on flag varieties,1.0,0.0
Projective spaces in Fermat varieties,1.0,0.0
Multiple period integrals and cohomology,0.0,1.0
p-adic variation of unit root L-functions,0.0,1.0
"Monodromy and $K$-theory of Schubert Curves via Generalized Jeu de
  Taquin",1.0,0.0
Finding a low-dimensional piece of a set of integers,0.0,1.0
The Grunwald problem and approximation properties for homogeneous spaces,0.0,1.0
A Stern-type congruence for the Schroder numbers,0.0,1.0
On the projective normality of double coverings over a rational surface,1.0,0.0
"Secondary characteristic classes for subgroups of automorphism groups of
  free groups",1.0,0.0
Potentially crystalline deformation rings and Serre weight conjectures,0.0,1.0
A vanishing theorem for weight one syzygies,1.0,0.0
Deterministic factorization of sums and differences of powers,0.0,1.0
Notes on Motivic Periods,0.0,1.0
The Number of Zeros of $\zeta'(s)$,0.0,1.0
A stronger derived Torelli theorem for K3 surfaces,1.0,0.0
"Characterizations of quadratic, cubic, and quartic residue matrices",0.0,1.0
Mahler's classification and a certain class of $p$-adic numbers,0.0,1.0
Independence of the B-KK Isomorphism of Infinite Prime,1.0,0.0
"Rational approximation to values of G-functions, and their expansions in
  integer bases",0.0,1.0
Local heights of toric varieties over non-archimedean fields,1.0,1.0
"Compact leaves of codimension one holomorphic foliations on projective
  manifolds",1.0,0.0
A remark on the Ueno-Campana's threefold,1.0,0.0
"Generating functions for K-theoretic Donaldson invariants and Le
  Potier's strange duality",1.0,0.0
Spectral Analysis of Quasi-Cyclic Product Codes,0.0,1.0
Worst Unstable Points of a Hilbert Scheme,1.0,0.0
An extension of Van Vleck's functional equation for the sine,0.0,1.0
Modular Form Representation for Periods of Hyperelliptic Integrals,1.0,1.0
Characterizations of freeness for equidimensional subspaces,1.0,0.0
Modular Graph Functions,0.0,1.0
Graphs of Large Girth and Surfaces of Large Systole,0.0,1.0
"Euler characteristics of Hilbert schemes of points on surfaces with
  simple singularities",1.0,0.0
"Euler characteristics of Hilbert schemes of points on simple surface
  singularities",1.0,0.0
Minimum distance functions of graded ideals and Reed-Muller-type codes,1.0,1.0
"The Birch and Swinnerton-Dyer Formula for Elliptic Curves of Analytic
  Rank One",0.0,1.0
Hermitian u-invariants over function fields of p-adic curves,0.0,1.0
"On Enriques surfaces in characteristic 2 with a finite group of
  automorphisms",1.0,0.0
On the expansions of real numbers in two integer bases,0.0,1.0
Counting Extensions of $\mathfrak{p}$-Adic Fields with Given Invariants,0.0,1.0
"Ramifications of Hurwitz theory, KP integrability and quantum curves",1.0,0.0
Supergeometry in mathematics and physics,1.0,0.0
A note on some fiber-integrals,1.0,0.0
Formal neighborhoods in arc spaces,1.0,0.0
"Estimations of the number of solutions of algebraic Diophantine
  equations with natural coefficients using the circle method of
  Hardy-Littlewood",0.0,1.0
"An Elementary Approach to Containment Relations Between Symbolic and
  Ordinary Powers of Certain Monomial Ideals",1.0,0.0
An algorithm for the normal bundle of rational monomial curves,1.0,0.0
No Riemann-hurwitz formula for the p-ranks of relative class groups,0.0,1.0
Noncommutative homological mirror functor,1.0,0.0
"On the average of the number of imaginary quadratic fields with a given
  class number",0.0,1.0
On a motivic invariant of the arc-analytic equivalence,1.0,0.0
Complete intersection for equivariant models,1.0,0.0
Good reduction of Fano threefolds and sextic surfaces,1.0,1.0
"Explicit refinements of B\""ocherer's conjecture for Siegel modular forms
  of squarefree level",0.0,1.0
K-semistability is equivariant volume minimization,1.0,0.0
On the Topology of Real Bundle Pairs over Nodal Symmetric Surfaces,1.0,0.0
"Real Orientations, Real Gromov-Witten Theory, and Real Enumerative
  Geometry",1.0,0.0
"Solution of Cassels' Problem on a Diophantine Constant over Function
  Fields",0.0,1.0
"The Sato--Tate Distribution in Families of Elliptic Curves with a
  Rational Parameter of Bounded Height",0.0,1.0
Lectures on K-theoretic computations in enumerative geometry,1.0,0.0
Density measures and additive property,0.0,1.0
"Superforms, Tropical Cohomology, and Poincar\'e Duality",1.0,0.0
"Explaining Ramanujan's ""Unclosed"" Comment in His Last Letter to Hardy",0.0,1.0
Height growth on semisimple groups,0.0,1.0
Godement resolution and operad sheaf homotopy theory,1.0,0.0
Bifurcation set of multi-parameter families of complex curves,1.0,0.0
A polyhedral characterization of quasi-ordinary singularities,1.0,0.0
Algebraic symplectic analogues of additive quotients,1.0,0.0
"Ramified automorphic induction and zero-dimensional affine
  Deligne-Lusztig varieties",1.0,0.0
On the ampleness and bigness of non-integral divisors,1.0,0.0
\'Etale homotopy types of moduli stacks of polarised abelian schemes,1.0,0.0
"Normalizers of Congruence Groups in $SL_{2}(\mathbb{R})$ and
  Automorphisms of Lattices",0.0,1.0
A Theory of Stacky Fans,1.0,0.0
"Little Strings, Quasi-topological Sigma Model on Loop Group, and
  Toroidal Lie Algebras",1.0,0.0
Branching data for curves up to genus 48,1.0,0.0
Riemann-Hilbert correspondence for irregular holonomic D-modules,1.0,0.0
"Stable maps of genus zero in the space of stable vector bundles on a
  curve",1.0,0.0
"Hasse-Weil zeta functions of ${\rm SL}_2$-character varieties of closed
  orientable hyperbolic $3$-manifolds",0.0,1.0
Quivers and moduli spaces of pointed curves of genus zero,1.0,0.0
On twists of modules over non-commutative Iwasawa algebras,0.0,1.0
Rational digit systems over finite fields and Christol's Theorem,0.0,1.0
Some remarks on bielliptic and trigonal curves,1.0,0.0
"Orthogonal and unitary tensor decomposition from an algebraic
  perspective",1.0,0.0
"On the $8$-rank of narrow class groups of $\mathbb{Q}(\sqrt{-4pq})$,
  $\mathbb{Q}(\sqrt{-8pq})$, and $\mathbb{Q}(\sqrt{8pq})$",0.0,1.0
Ideal Containments under Flat Extensions,1.0,0.0
On algebraic congruences,1.0,0.0
"A geometric reduction theory for indefinite binary quadratic forms over
  $\mathbb{Z}[\lambda]$",0.0,1.0
Twisted wild character varieties,1.0,0.0
"Stratifications and foliations for good reductions of Shimura varieties
  of Hodge type",1.0,0.0
Cantor polynomials and the Fueter-Polya theorem,0.0,1.0
Genus Fields of Congruence Function Fields,0.0,1.0
On torsion in the intersection cohomology of Schubert varieties,1.0,0.0
"Certain weighted sum formulas for multiple zeta values with some
  parameters",0.0,1.0
Hook formulas for skew shapes I. $q$-analogues and bijections,1.0,0.0
Two One-Parameter Special Geometries,1.0,0.0
The Least Prime Number in a Beatty Sequence,0.0,1.0
From local Torelli to global Torelli,1.0,0.0
"Evaluating Multiple Polylogarithm Values at Sixth Roots of Unity up to
  Weight Six",0.0,1.0
Dwork families and $\mathcal{D}$-modules,1.0,0.0
"Non-vanishing and sign changes of Hecke eigenvalues for half-integral
  weight cusp forms",0.0,1.0
Quiver W-algebras,1.0,0.0
"Continuity argument revisited: geometry of root clustering via symmetric
  products",1.0,0.0
Remarks on K3 surfaces with non-symplectic automorphisms of order 7,1.0,0.0
"Effective bounds for the negativity of Shimura curves on Hilbert Modular
  Surfaces",1.0,0.0
Stability of coisotropic fibrations on holomorphic symplectic manifolds,1.0,0.0
"Gr\""unwald version of van der Waerden's theorem for semi-modules",0.0,1.0
Derivation relations for finite multiple zeta values,0.0,1.0
Inverse Galois Problem and Significant Methods,1.0,0.0
On the continuity of the geometric side of the trace formula,0.0,1.0
Positive semidefinite rank and nested spectrahedra,1.0,0.0
Pisot unit generators in number fields,0.0,1.0
Fundamental Group of some Genus-2 Fibrations and Applications,1.0,0.0
$\mathbb{Q}$-Homology Plane pairs with Logarithmic Kodaira dimension 1,1.0,0.0
Symplectic realizations of holomorphic Poisson manifolds,1.0,0.0
Some fundamental groups in arithmetic geometry,1.0,0.0
On the lifting of Hilbert cusp forms to Hilbert-Siegel cusp forms,0.0,1.0
Mixed trTLEP-structures and mixed Frobenius structures,1.0,0.0
"Donaldson-Thomas theory for categories of homological dimension one with
  potential",1.0,0.0
Fuglede's conjecture holds in $\mathbb{Q}_p$,0.0,1.0
Intersection theory in algebraic cobordism,1.0,0.0
Companions on Artin stacks,1.0,1.0
Non-complete rational T-varieties of complexity one,1.0,0.0
Multifractal analysis of the Brjuno function,0.0,1.0
Cluster varieties from Legendrian knots,1.0,0.0
"Theta invariants of euclidean lattices and infinite-dimensional
  hermitian vector bundles over arithmetic curves",0.0,1.0
Notes on HPD,1.0,0.0
Cones of effective divisors on the blown-up P^3 in general lines,1.0,0.0
Consistency and Derangements in Brane Tilings,1.0,0.0
"The Classification of Real Singularities Using Singular. Part III:
  Unimodal Singularities of Corank 2",1.0,0.0
Summation of certain infinite Fibonacci related series,0.0,1.0
3D printing dimensional calibration shape: Clebsch Cubic,1.0,0.0
Surfaces containing two circles through each point,1.0,0.0
Hecke eigenvalues of Klingen--Eisenstein series of squarefree level,0.0,1.0
"The cohomology rings of regular nilpotent Hessenberg varieties in Lie
  type A",1.0,0.0
$\mathbb{A}^1$-equivalence of zero cycles on surfaces II,1.0,0.0
Deformations of holomorphic Poisson maps,1.0,0.0
"Picard groups, weight structures, and (noncommutative) mixed motives",1.0,0.0
Global Oort Groups,1.0,0.0
